店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室で愉しむ韓国料理居酒屋 土火土火 東京・八重洲本店,050-5484-8637,,東京都,中央区,八重洲1-4-9,,,True
ちゃい九炉 八重洲店,050-5485-7827,,東京都,中央区,日本橋3-2-3,第1山本ビル1・2F,,True
朝日夜,050-5485-0461,,東京都,中央区,日本橋本石町4-5-8,京央会館1F,,True
鹿児島和牛と厳選日本酒完全個室居酒屋 八重洲屋 八重洲日本橋店,050-5489-1683,,東京都,中央区,日本橋3-3-13,,,True
個室・くつろぎ うま酒 かこいや 丸の内二丁目店,050-5492-6986,,東京都,千代田区,丸の内2-5-2,三菱ビル B1,,True
XEX TOKYO,050-5487-3916,,東京都,千代田区,丸の内1-9-1,大丸東京店13F,,True
活菜厨房【和食】 然 大手町店,050-5485-5833,mailto:shizenkaiki@nifty.com,東京都,千代田区,大手町1-3-2,大手町カンファレンスセンターB1(経団連会館),,True
鶏料理専門店×個室 とりかく 丸の内国際ビル店,050-5484-5210,,東京都,千代田区,丸の内3-1-1,国際ビルB1,,True
僖ニ成ル食 京橋,050-5492-4108,,東京都,中央区,京橋2-7-8,FPG links KYOBASHI1F,,True
個室会席 和食日和 おさけと 京橋,03-3528-6270,,東京都,中央区,京橋1-7-1,TODA BUILDING2F,,True
男前料理 京橋 無花果ichijiku,050-5486-1418,mailto:okazu@s-simokita.bb4u.ne.jp,東京都,中央区,京橋2-6-16,エターナルビル2F,,True
完全個室居酒屋 博多野菜巻串 はなこま 東京店,050-5494-5588,,東京都,中央区,八重洲1-5-10,RISM八重洲ビル3F,,True
個室×四川中華居酒屋 華美 京橋,050-5487-7677,,東京都,中央区,京橋1-6-13,金葉ビルB1,,True
創作料理 YAESU BISTRO,050-5486-3525,,東京都,中央区,八重洲2-2-1,東京ミッドタウン八重洲3F,,True
完全個室居酒屋 地鶏と和牛肉寿司 東京千鳥屋 日本橋店,050-5488-4094,,東京都,中央区,八重洲1-4-3,2F,,True
兼坂 東京丸の内店,050-5486-8575,,東京都,千代田区,大手町2-5-6,,,True
そばと天ぷら 石楽 大手町店,050-5486-5960,,東京都,千代田区,大手町1-1-1,大手町パークビルディングB1,,True
デザイナーズ九州料理居酒屋 うま粋 UMAIKI 八重洲本店,050-5493-7430,,東京都,中央区,八重洲1-4-10,八重洲仲通りビル3F,,True
全席個室 湊一や 日本橋八重洲店,050-5485-4716,,東京都,中央区,日本橋2-3-4,日本橋プラザビル2F,,False
グリルダイニング OLIVE －オリーブ－ 有楽町店,050-5488-2021,,東京都,中央区,八重洲2-11-7,B1,,True
小岩井農場TOKYO,050-5486-5854,mailto:freminar@koiwai.co.jp,東京都,千代田区,丸の内2-4-1,丸の内ビルディング 5F,,True
個室と板前和食 箱根 日本橋,050-5485-2724,,東京都,中央区,日本橋2-2-3,リッシュビル1F,,True
鳥彩 八重洲店,03-3517-1488,,東京都,中央区,日本橋3-4-1,第二弥生ビル5F,,True
